"Date","WS","RT","ARR"
"2007-01-30",9.6859872951,15.4725239801,406.788927244
"2007-01-31",9.6771889891,15.5428541161,358.819736944
"2007-02-01",9.7387119387,15.6038069006,379.006438685
"2007-02-02",9.7783122517,15.6566326472,435.514913527
"2007-02-03",9.8630187662,15.6566326472,402.515591724
"2007-02-04",9.969905153,15.6566326472,373.069512827
"2007-02-05",10.0755930129,15.8357482942,369.454911117
"2007-02-06",10.2657996588,16.390981855,448.324922968
"2007-02-07",10.3863597043,16.8721842743,506.588266572
"2007-02-08",10.5007413734,17.2892263711,527.145831029
"2007-02-09",10.5763348313,17.6506628549,664.477053559
"2007-02-10",10.6962578639,17.6506628549,592.000113084
"2007-02-11",10.8456012598,17.6506628549,529.620098006
"2007-02-12",10.968743314,17.8305744743,471.752084939
"2007-02-13",11.0642442055,18.119831211,422.23314028
"2007-02-14",11.1697793215,18.3705203829,530.20205491
"2007-02-15",11.2440651556,18.4544509985,583.021780922
"2007-02-16",11.2848564682,18.4544509985,837.312210132
"2007-02-17",11.3220550929,18.4544509985,820.498582114
"2007-02-18",11.3451346159,18.4544509985,750.848104499
"2007-02-19",11.3303865084,18.5271908654,700.051023899
"2007-02-20",11.289411897,18.5902320833,709.190887379
"2007-02-21",11.267793341,18.5115344722,637.312102395
"2007-02-22",11.2294208956,18.4433298759,698.383822076
"2007-02-23",11.153019477,18.3842192258,768.865979133
"2007-02-24",11.0927536322,18.3842192258,885.157181915
"2007-02-25",11.1991519134,18.3842192258,799.95755766
"2007-02-26",11.0992649916,18.066323329,734.156549972
"2007-02-27",10.9590455324,17.7908135518,732.770343309
"2007-02-28",10.8105667341,17.4187050782,747.800964201
"2007-03-01",10.6083245029,17.0962110678,791.938168974
"2007-03-02",10.4575849396,16.8167162588,964.309079778
"2007-03-03",10.3550180587,16.8167162588,869.514535807
"2007-03-04",10.1370156509,16.8167162588,761.103264366
"2007-03-05",10.0954648462,16.7078207576,679.961495784
"2007-03-06",10.0643523616,16.6134446566,635.11862968
"2007-03-07",10.0697114407,16.3983187024,568.413479056
"2007-03-08",10.0312807795,16.0785428754,521.433015182
"2007-03-09",9.9370729718,15.8014038253,692.393946491
"2007-03-10",9.8855999944,15.8014038253,683.380086959
"2007-03-11",9.8094755507,15.8014038253,614.709408697
"2007-03-12",9.7829129986,15.5612166486,595.334820871
"2007-03-13",9.6182653396,15.2197210955,658.230178088
"2007-03-14",9.5577029768,14.9237582827,710.74082101
"2007-03-15",9.5001102567,14.6672571784,944.899378209
"2007-03-16",9.4767622225,14.4449562213,1026.57146111
"2007-03-17",9.3885474615,14.4449562213,1169.75393297
"2007-03-18",9.3280744666,14.4449562213,1042.60007524
"2007-03-19",9.2963682414,14.2522953918,964.693398539
"2007-03-20",9.2201858093,14.0853226729,995.850278733
"2007-03-21",9.127894368,13.9406129831,1029.64490824
"2007-03-22",9.0789528967,13.8151979187,1165.96558714
"2007-03-23",8.962567258,13.7065048629,1253.16884219
"2007-03-24",8.8968175495,13.7065048629,1307.95966323
"2007-03-25",8.8500813824,13.7065048629,1156.7543748
"2007-03-26",8.7578483092,13.6123042145,1210.57379149
"2007-03-27",8.636801868,13.6123042145,1125.29061929
"2007-03-28",8.5567838411,13.3973303192,1046.78653672
"2007-03-29",8.4934719216,13.21101961,1135.18966516
"2007-03-30",8.3811799389,13.0495503287,1085.0777098
"2007-03-31",8.2698621199,13.0495503287,984.627348496
"2007-04-01",8.180300257,13.0495503287,881.717035363
"2007-04-02",8.107519482,12.9096102849,823.674763981
"2007-04-03",8.016933551,12.7883289135,897.943462117
"2007-04-04",7.9752312998,12.6832183917,803.804333835
"2007-04-05",7.9226607773,12.5921226062,727.24375599
"2007-04-06",7.8661472768,12.5921226062,674.424588525
"2007-04-07",7.8457720844,12.5921226062,632.686643388
"2007-04-08",7.7927555595,12.5921226062,574.125757603
"2007-04-09",7.7541381516,12.379839592,564.286323256
"2007-04-10",7.7095341105,12.3291943131,719.168146822
"2007-04-11",7.6908269983,12.4186350713,650.092393912
"2007-04-12",7.6287908059,12.3628170618,942.852074724
"2007-04-13",7.5479149948,12.3144414536,852.394464761
"2007-04-14",7.4911771225,12.3144414536,784.181869459
"2007-04-15",7.4333636071,12.3144414536,729.204286865
"2007-04-16",7.369708777,12.2725159264,676.963715283
"2007-04-17",7.3042237972,12.1028471362,829.060553245
"2007-04-18",7.2609255815,11.9558008514,1020.09247948
"2007-04-19",7.1926001504,11.8283607379,917.002815549
"2007-04-20",7.1451740986,11.7179126395,844.329106809
"2007-04-21",7.0787342188,11.7179126395,921.418559234
"2007-04-22",6.9736908684,11.7179126395,828.861418003
"2007-04-23",6.8828931971,11.6221909542,764.746562269
"2007-04-24",6.8201741041,11.405898827,821.899020633
"2007-04-25",6.7355794617,11.2184456501,824.419151216
"2007-04-26",6.63733126,11.1893195634,842.39659772
"2007-04-27",6.5759435022,11.1640769549,772.197051357
"2007-04-28",6.5145584427,11.1640769549,822.490777843
"2007-04-29",6.4853445897,11.1640769549,750.198674131
"2007-04-30",6.4517060518,11.0088666943,700.20551758
"2007-05-01",6.3901452449,10.874351135,780.924781903
"2007-05-02",6.3206899815,10.874351135,856.014810982
"2007-05-03",6.278347984,10.7577709837,853.011502851
"2007-05-04",6.2464636776,10.6567348525,947.449969138
"2007-05-05",6.1954319193,10.6567348525,1028.63663992
"2007-05-06",6.1618529625,10.6567348525,956.231754597
"2007-05-07",6.1298725675,10.5691702055,917.634187317
"2007-05-08",6.0978599289,10.4932808448,849.436295675
"2007-05-09",6.0553674939,10.4275100655,783.391456252
"2007-05-10",5.9917073836,10.3705087234,827.979262085
"2007-05-11",5.9244003674,8.987774227,939.12202714
"2007-05-12",5.8587766147,8.987774227,970.412423521
"2007-05-13",5.7780104398,8.987774227,885.430767052
